trio;booth;musician;age;sex;instrument;yearsInstrument;yearsImpro;knowingA;knowingB;knowingC;influenceA;influenceB;influenceC;like;disturbed;goodEnd;goodEndbc;guessPromptA;guessPromptB;guessPromptC;likedImpro;nb_pedal_press;pedal_press;prompt_ecoute_Louise;prompt_heard;searchedEnd;searchedEndA;searchedEndAbc;searchedEndB;searchedEndBbc;searchedEndC;searchedEndCbc;take;knowing;influence;CONT;EMP;DIS;BESA;exp_part;experience;familiarity;trioTake;startA;startB;startC;endA;endB;endC;startAll;endAll;promptTime;syncIndex;duration;type;number;pedalA;pedalB;pedalC;numberPedals;goalAchievementAll;goodEndAll;goodImproAll;goodEndA;goodEndB;goodEndC;endAmB;endAmC;endCmB;syncDiff;syncRange;goodEndAmB;goodEndAmC;goodEndCmB;dist_to_prompt;instrument_type;guessOwnPrompt;endOwn;endOthers;guessOwnPrompt_acc;dist_to_end;dist_to_others;type_h;shared_h;achievement;prompt_heard_A;prompt_heard_B;prompt_heard_C;MR_A;MR_B;MR_C;MR_glob;dprime;criterion;influenced
1;a;1;39;m;Clarinette_Basse;30;20;;1.0;5.0;;5.0;7.0;7.0;1.0;3.0;la forme elle mme etait etrange;Me-Goal;No-Goal;No-Goal;3.0;;;MOI;Me-Goal;;;;;;;;11;3.0;6.0;23.0;31.0;18.0;72.0;exp2-p2;More;Familiar;111;15.273333333333301;8.74816326530612;74.642;168.699637188209;267.72458049886603;268.769206349206;8.74816326530612;268.769206349206;157.954988662132;33.704731670446;260.0210430839;Me-Goal;1;0.0;0.0;0.0;3;110.814217687075;2.08166599946613;4.33333333333333;3.0;7.0;6.0;99.02494331065702;100.06956916099699;1.044625850339969;66.71304610733132;100.06956916099699;4.0;3.0;1.0;10.744648526077015;WIND;Me-Goal;168.699637188209;268.246893424036;True;100.06956916099699;99.54725623582698;Me-Goal;1.0;10.744648526077015;Me-Goal;No-Goal;No-Goal;;1.0;1.0;1.0;1.744548938600471;0.6618460750523107;6.0
1;a;1;39;m;Clarinette_Basse;30;20;;1.0;5.0;;5.0;7.0;7.0;1.0;7.0;c'est un miracle;Me-Goal;We-Goal;We-Goal;7.0;;;MOI;Me-Goal;;;;;;;;12;3.0;6.0;23.0;31.0;18.0;72.0;exp2-p2;More;Familiar;112;13.9114285714286;19.1006349206349;10.3275736961451;190.55795918367298;190.630793650794;190.23269841269797;10.3275736961451;190.630793650794;170.554988662132;0.156976568405147;180.30321995464902;Me-Goal;3;0.0;0.0;0.0;3;20.075804988662103;0.577350269189626;5.66666666666667;7.0;7.0;6.0;0.07283446712102659;0.3252607709750066;0.3980952380960332;0.2653968253973555;0.3980952380960332;0.0;1.0;1.0;20.002970521540988;WIND;Me-Goal;190.55795918367298;190.431746031746;True;0.07283446712102659;0.1262131519269758;Me-Goal;3.0;20.002970521540988;Me-Goal;Me-Goal;Me-Goal;;0.0;0.0;0.0;1.744548938600471;0.6618460750523107;6.0
1;a;1;39;m;Clarinette_Basse;30;20;;1.0;5.0;;5.0;7.0;7.0;1.0;4.0;NSPP;Me-Goal;No-Goal;We-Goal;6.0;;;MOI;Me-Goal;;;;;;;;13;3.0;6.0;23.0;31.0;18.0;72.0;exp2-p3;More;Familiar;113;2.577;18.2675283446712;17.3985034013605;178.775736961451;191.361133786848;211.41156462585;2.577;211.41156462585;155.674988662132;17.562086167800402;208.83456462585;Me-Goal;2;0.0;0.0;0.0;3;55.7365759637188;1.73205080756888;5.0;4.0;7.0;4.0;12.585396825396998;32.63582766439899;20.05043083900199;21.757218442932658;32.63582766439899;3.0;0.0;3.0;23.100748299319008;WIND;Me-Goal;178.775736961451;201.386349206349;True;32.63582766439899;22.610612244897993;Me-Goal;2.0;23.100748299319008;Me-Goal;Me-Goal;No-Goal;;0.0;0.0;0.0;1.744548938600471;0.6618460750523107;6.0
1;a;1;39;m;Clarinette_Basse;30;20;;1.0;5.0;;5.0;7.0;7.0;1.0;7.0;aucune idee;No-Goal;No-Goal;Me-Goal;4.0;;;X;No-Goal;;;;;;;;14;3.0;6.0;23.0;31.0;18.0;72.0;exp2-p3;More;Familiar;114;2.55124716553288;116.89299999999999;61.227;231.48394557823102;280.706077097506;211.721859410431;2.55124716553288;280.706077097506;148.734988662132;39.4021164021164;278.154829931973;Me-Goal;2;0.0;0.0;0.0;3;131.97108843537399;2.3094010767585003;5.0;7.0;7.0;3.0;49.222131519274996;19.76208616780002;68.98421768707502;45.98947845805001;68.98421768707502;0.0;4.0;4.0;82.74895691609902;WIND;No-Goal;231.48394557823102;246.21396825396852;True;49.222131519274996;14.730022675737501;Me-Goal;1.0;;No-Goal;No-Goal;Me-Goal;;1.0;1.0;1.0;1.744548938600471;0.6618460750523107;6.0
1;a;1;39;m;Clarinette_Basse;30;20;;1.0;5.0;;5.0;7.0;7.0;1.0;7.0;fin collective;No-Goal;No-Goal;We-Goal;7.0;;;X;No-Goal;;;;;;;;15;3.0;6.0;23.0;31.0;18.0;72.0;exp2-p3;More;Familiar;115;11.7333786848073;2.64104308390023;15.9936961451247;241.408390022676;241.54108843537398;242.400136054422;2.64104308390023;242.400136054422;172.074988662132;0.616931216931221;239.759092970522;Me-Goal;1;0.0;0.0;0.0;3;70.32514739229029;0.577350269189626;6.33333333333333;7.0;7.0;6.0;0.13269841269797666;0.9917460317460041;0.8590476190480274;0.6611640211640027;0.9917460317460041;0.0;1.0;1.0;69.333401360544;WIND;No-Goal;241.408390022676;241.970612244898;True;0.9917460317460041;0.5622222222220046;Me-Goal;1.0;;No-Goal;No-Goal;Me-Goal;;1.0;0.0;0.5;1.744548938600471;0.6618460750523107;6.0
1;a;1;39;m;Clarinette_Basse;30;20;;1.0;5.0;;5.0;7.0;7.0;1.0;7.0;fin collective;Me-Goal;No-Goal;No-Goal;7.0;;;MOI;Me-Goal;;;;;;;;16;3.0;6.0;23.0;31.0;18.0;72.0;exp2-p3;More;Familiar;116;16.3498866213152;9.923492063492061;18.925034013605398;175.26870748299302;176.296371882086;184.04575963718798;9.923492063492061;184.04575963718798;148.694988662132;5.50881330309902;174.12226757369598;Me-Goal;3;0.0;0.0;0.0;3;35.350770975056705;1.1547005383792501;6.33333333333333;7.0;7.0;5.0;1.02766439909297;8.777052154194962;7.749387755101992;5.851368102796641;8.777052154194962;0.0;2.0;2.0;26.573718820861018;WIND;Me-Goal;175.26870748299302;180.17106575963697;True;8.777052154194962;4.902358276643952;Me-Goal;3.0;26.573718820861018;Me-Goal;Me-Goal;Me-Goal;;0.0;0.0;0.0;1.744548938600471;0.6618460750523107;6.0
1;b;2;49;m;Sax_Soprano;39;20;7.0;;1.0;7.0;;7.0;7.0;6.0;5.0; NaN;No-Goal;No-Goal;No-Goal;5.0;1.0;1.0;;No-Goal;1.0;1.0;je l'ai sentit;; NaN;1.0;je l'ai sentit;1;4.0;7.0;23.0;33.0;28.0;84.0;exp1;More;Familiar;101;8.330113378684809;18.384263038548802;8.66136054421769;232.03768707483;253.974829931973;261.75614512471697;8.330113378684809;261.75614512471697;;12.499924414210101;253.42603174603198;No-Goal;0;155.16498866;234.31498866;246.49498866;3;261.75614512471697;0.0;0.0;5.0;5.0;5.0;21.937142857143016;29.718458049886976;7.7813151927439606;19.812305366591318;29.718458049886976;0.0;0.0;0.0;;WIND;No-Goal;253.974829931973;246.89691609977348;True;7.7813151927439606;7.077913832199528;No-Goal;0.0;;No-Goal;No-Goal;No-Goal;1.0;;1.0;1.0;;;5.5
1;b;2;49;m;Sax_Soprano;39;20;7.0;;1.0;7.0;;7.0;7.0;6.0;1.0; NaN;No-Goal;No-Goal;No-Goal;2.0;1.0;1.0;;No-Goal;1.0;1.0;baisse d'energie;; NaN;1.0;en 2 temps: 1) ensemble: baisse d'energie et jeu plus sporadique 2) seul : forcement !;2;4.0;7.0;23.0;33.0;28.0;84.0;exp1;More;Familiar;102;7.898095238095241;16.3768253968254;2.6929251700680297;251.43659863945598;251.72095238095199;293.769387755102;2.6929251700680297;293.769387755102;;28.127074829932;291.076462585034;No-Goal;0;199.52498866;232.34498866;-1.0;2;293.769387755102;2.51661147842358;0.0;6.0;1.0;4.0;0.28435374149600534;42.33278911564602;42.04843537415002;28.22185941043068;42.33278911564602;5.0;2.0;3.0;;WIND;No-Goal;251.72095238095199;272.602993197279;True;42.04843537415002;20.88204081632699;No-Goal;0.0;;No-Goal;No-Goal;No-Goal;1.0;;1.0;1.0;;;5.5
1;b;2;49;m;Sax_Soprano;39;20;7.0;;1.0;7.0;;7.0;7.0;6.0;1.0; NaN;No-Goal;No-Goal;No-Goal;5.0;1.0;1.0;;No-Goal;1.0;0.0; NaN;; NaN;0.0; NaN;3;4.0;7.0;23.0;33.0;28.0;84.0;exp1;More;Familiar;103;9.061451247165529;3.63478458049887;12.890748299319698;212.535011337868;207.624172335601;216.621723356009;3.63478458049887;216.621723356009;;4.36142101284958;212.98693877551003;No-Goal;0;-1.0;186.98498866;211.12498866;2;216.621723356009;2.51661147842358;0.0;4.0;1.0;6.0;4.910839002267011;4.086712018140986;8.997551020407997;5.9983673469386645;8.997551020407997;3.0;2.0;5.0;;WIND;No-Goal;207.624172335601;214.5783673469385;True;8.997551020407997;6.954195011337504;No-Goal;0.0;;No-Goal;No-Goal;No-Goal;1.0;;1.0;1.0;;;5.5
1;b;2;49;m;Sax_Soprano;39;20;7.0;;1.0;7.0;;7.0;7.0;6.0;4.0; NaN;No-Goal;No-Goal;No-Goal;5.0;1.0;1.0;;No-Goal;1.0;1.0;progression evasive plus tessiture;; NaN;0.0; NaN;4;4.0;7.0;23.0;33.0;28.0;84.0;exp1;More;Familiar;104;5.34290249433107;6.62798185941043;11.311337868480699;226.34063492063498;228.082675736961;228.627437641723;5.34290249433107;228.627437641723;;0.9438548752834491;223.284535147392;No-Goal;0;172.64498866;216.95498866;218.17498866;3;228.627437641723;1.0;0.0;5.0;4.0;3.0;1.7420408163260106;2.2868027210880086;0.544761904761998;1.5245351473920057;2.2868027210880086;1.0;2.0;1.0;228.082675736961;WIND;No-Goal;228.082675736961;227.484036281179;True;0.544761904761998;0.5986394557820063;No-Goal;0.0;;No-Goal;No-Goal;No-Goal;1.0;;1.0;1.0;;;5.5
1;b;2;49;m;Sax_Soprano;39;20;7.0;;1.0;7.0;;7.0;7.0;6.0;5.0;m'a semble coherente;We-Goal;Me-Goal;We-Goal;5.0;;;MOI;Me-Goal;;;;;;;;5;4.0;7.0;23.0;33.0;28.0;84.0;exp2-p1;More;Familiar;105;5.728027210884349;7.36231292517007;27.439682539682497;163.216099773243;162.891836734694;167.08231292517002;5.728027210884349;167.08231292517002;143.194988662132;2.68556311413455;161.354285714286;Me-Goal;1;0.0;0.0;0.0;3;23.8873242630386;0.577350269189626;4.33333333333333;5.0;5.0;6.0;0.32426303854899174;3.8662131519270133;4.190476190476005;2.79365079365067;4.190476190476005;0.0;1.0;1.0;19.696848072562005;WIND;Me-Goal;162.891836734694;165.1492063492065;True;4.190476190476005;2.2573696145124984;Me-Goal;1.0;19.696848072562005;No-Goal;Me-Goal;No-Goal;0.0;;0.0;0.0;1.7590601738450755;0.08789147917916323;5.5
