trioTake;trio;take;startA;startB;startC;endA;endB;endC;startAll;endAll;promptTime;syncIndex;duration;type;number;pedalA;pedalB;pedalC;numberPedals;goalAchievementAll;goodEndAll;goodImproAll;goodEndA;goodEndB;goodEndC
802;8;2;14.5519727891156;21.1000907029478;12.2023129251701;191.956780045351;181.461632653061;192.247120181406;12.2023129251701;192.247120181406;0;3.6919425547997;180.044807256236;0;0;142.21498866;183.87498866;-1;2;192.247120181406;1.15470053837925;0;3;5;3
902;9;2;7;5.06852607709751;9.59922902494331;214.248117913832;218.746893424036;217.754149659864;5.06852607709751;218.746893424036;0;1.83050642479213;213.678367346939;0;0;136.69498866;-1;211.32498866;2;218.746893424036;1.52752523165195;0;5;4;2
1002;10;2;2.47442176870748;7.34235827664399;22.032970521542;218.86462585034;217.134557823129;218.56231292517;2.47442176870748;218.86462585034;0;0.677460317460316;216.390204081633;0;0;-1;-1;-1;0;218.86462585034;1.52752523165195;0;7;4;5
1102;11;2;8.45083900226757;7;14.9021768707483;267.757505668934;266.782721088435;272.958684807256;7;272.958684807256;0;3.79238095238096;265.958684807256;0;0;269.29498866;183.35498866;-1;2;272.958684807256;1;0;3;2;4
1202;12;2;5.93356009070295;5.7649433106576;6.53319727891156;213.966757369614;219.284671201814;220.990793650794;5.7649433106576;220.990793650794;0;2.91005291005291;215.225850340136;0;0;181.66498866;216.24498866;224.20498866;3;220.990793650794;0.577350269189626;0;4;3;4
103;1;3;9.06145124716553;3.63478458049887;12.8907482993197;212.535011337868;207.624172335601;216.621723356009;3.63478458049887;216.621723356009;0;4.36142101284958;212.98693877551;0;0;-1;186.98498866;211.12498866;2;216.621723356009;2.51661147842358;0;4;1;6
203;2;3;6.83650793650794;37;13.0483900226757;354.694920634921;357.527482993197;358.026349206349;6.83650793650794;358.026349206349;0;1.27676492819351;351.189841269841;0;0;-1;300.92498866;-1;1;358.026349206349;1.52752523165195;0;3;6;4
303;3;3;12.5136054421769;17.3386394557823;12.9526077097506;232.498639455782;268.024897959184;268.257369614512;12.5136054421769;268.257369614512;0;11.997067271353;255.743764172336;0;0;231.85498866;-1;199.70498866;2;268.257369614512;0;0;5;5;5
403;4;3;7.29945578231293;23.5684807256236;9.09836734693878;247.197233560091;243.481678004535;255.96231292517;7.29945578231293;255.96231292517;0;7.08190476190476;248.662857142857;0;0;249.69498866;-1;225.20498866;2;255.96231292517;1;0;6;5;7
503;5;3;0.0249886621315193;17.8953741496599;3.47514739229025;274.750612244898;255.397596371882;268.992698412698;0.0249886621315193;274.750612244898;0;8.37030990173849;274.725623582766;0;0;253.05498866;235.76498866;249.11498866;3;274.750612244898;0.577350269189626;0;5;6;6
